ShopID,AccountName,BillingCity,BillingZip,Website,HasWebsite,DirectOrdering,Note
41413.0,Jim's Pizza - 41413,Worcester,1605,https://www.jimspizzaworcester.com/,True,True,
nan,Jinny's Pizzeria,Newton,2459,https://www.jinnyspizza.com/,True,True,
54365.0,Joe Pizza - 54365,Medford,2155,http://www.joepizza.net/,True,True,
104633.0,Johnnie's Pizza & Wings - 104633,Watertown,2472,https://app.masa.plus/6378?fbclid=IwAR1BnoP-p_CfBvplxTszcjrNYGE13VtopAjhjUeeLwDji84OoD0_kSbAmGo,True,True,
108854.0,Josephine - 108854,Somerville,2143,https://www.josephinepizza.com/,True,True,
nan,Junction RPD,Ayer,1432,http://junctionpizzaayer.com/,True,True,
nan,June Bug,Somerville,2143,https://www.junebugrestaurant.com/,True,True,
nan,Junior Pizza House,Acton,1720,http://www.juniorspizzaonline.com/zgrid/themes/780/mobile/intro/index.jsp,True,True,
nan,Karines Pizza And Deli,Marlborough,1752,https://www.karinesdeli.com/,True,True,
54622.0,Ken's NY Deli & Pizza - 54622,Bedford,1730,http://www.kensnydeli.com/,True,True,
17343.0,Kendall House of Pizza - 17343,Cambridge,2141,https://www.kendallhouseofpizzamenu.com/?utm_source=gbp,True,True,
52911.0,Kindles Wood Fired Brick Oven Pizzeria - 52911,Marlborough,1752,https://kindlespizzeria.com/,True,True,
nan,Kosta's Pizza and Seafood,Needham,2492,,False,False,No website
2172.0,La Befana Pizzeria - 2172,Allston,2134,https://ordering.chownow.com/order/3080/locations?add_cn_ordering_class=true,True,True,
102013.0,La GaZZa Brazilian Kitchen - 102013,Leominster,1453,https://lagazzabraziliankitchen.com/,True,True,
105871.0,La GaZZa Brazilian Kitchen - 105871,Framingham,1701,https://lagazzabraziliankitchen.com/,True,True,
103532.0,La Mamma Pizza & More - 103532,Allston,2134,http://orderlamammapizzaandmore.com/,True,True,
nan,La Toscana's Pizzeria,Wellesley,2482,https://www.latoscanasrestaurant.com/,True,True,
56714.0,LaGazza Kitchen - 56714,Leominster,1453,https://lagazzabraziliankitchen.com/,True,True,
56834.0,Land of Fire Pizzeria - 56834,Brighton,2135,https://www.landoffirepizzeria.com/?utm_source=gbp,True,True,
nan,Lazy Mary's Pizzeria,Ayer,1432,http://www.lazymarys.com/,True,True,
17731.0,Lena's Original Pizza & Sub - 17731,Waltham,2451,http://www.getlenas.com/,True,True,
43188.0,Leominster House of Pizza - 43188,Leominster,1453,https://leominsterhouseofpizza.godaddysites.com/,True,True,
nan,Leone's Sub And Pizza,Somerville,2145,https://www.leonessubandpizzas.com/,True,True,
17402.0,Lexington House Of Pizza - 17402,Lexington,2420,https://www.lexingtonhouseofpizza.com/,True,True,
nan,Liberty Famous Pizza,Framingham,1701,https://libertysfamouspizza.com/,True,True,
49028.0,Liberty's Pizza of Natick - 49028,Natick,1760,https://www.libertyspizzaofnatick.com/,True,True,
109496.0,Little Family Pizza - 109496,Watertown,2472,https://www.littlefamilypizzamenu.com/,True,True,
504.0,Little Pizza King - 504,Brighton,2135,https://www.lpkbrighton.com/,True,True,
nan,Ma Magoo's,Cambridge,2138,http://www.mamagoos.com/,True,True,
56692.0,Main Street Pizza - 56692,Hudson,1749,http://www.hudsonmainstreetpizza.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link&utm_content=website_button,True,True,
4241.0,Mama Gina's Pizza - 4241,Somerville,2143,https://mamaginassomerville.com/?utm_source=google,True,True,
nan,Mama's Bakery,Ashland,1721,https://www.instagram.com/pizzariamamashouse?igsh=eGMzcHd2cGQyM3pi,True,True,
